col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120
7.2681E+022,7.3844E+022,8.8282E+021,-0.60174,2.0962,6.5469E+022,8.1257E+022,48.3,47.924,1.0911,0.84178,2.7266,47.493,49.157,56.499,56.229,1.8782,0.87303,3.9424,55.465,57.285,75.185,74.292,3.1944,0.50854,2.4327,72.674,77.904,37.18,36.997,0.91209,1.9703,6.6645,36.605,37.345,0.03392,0.0043616,0.076647,0.90507,2.5291,-0.021757,0.0756,65254000000000,65543000000000,8849200000000,-0.17493,1.8673,58173000000000,73175000000000,0.00095106,-0.00024382,0.003487,0.546,3.1605,-0.00095367,0.003297,0.00054226,-0.00013173,0.0019651,0.55415,3.1716,-0.00051017,0.0018557,4285.5,4287.8,495.93,-0.31507,1.9765,3948.7,4730.3,125.38,78.906,116.3,1.0397,3.0854,32.868,208.42,5593000000000,4276600000000,4273300000000,0.76471,2.5655,1795800000000,8496600000000,14053,13884,757.15,1.0543,3.314,13511,14354,1.748E+024,1.7691E+024,1.5484E+023,-0.2706,1.6373,1.6206E+024,1.8986E+024,43.012,42.803,1.5746,0.72834,2.4934,41.681,44.233,42.702,41.981,2.5592,0.97218,2.9106,40.939,44.663,2586,2589,32.159,-0.89993,4.2222,2574.7,2605,1
7.9412E+022,8.1346E+022,5.5438E+021,-0.52825,2.1099,7.4498E+022,8.3223E+022,47.223,47.481,0.94484,-0.50937,1.9925,46.33,47.887,58.174,56.999,3.285,0.37001,1.7799,55.653,61.411,75.385,74.292,3.4176,0.57111,2.6698,72.674,78.244,38.233,37.322,1.7918,0.56347,1.5933,36.715,40.413,-0.0034918,-0.0082447,0.034121,0.49823,3.346,-0.027389,0.021215,72705000000000,73359000000000,7581200000000,-0.19384,1.831,66074000000000,79297000000000,0.00063653,0.00011344,0.0022678,0.77779,3.9585,-0.00077722,0.0019755,0.00036223,6.4165E-05,0.0012728,0.79497,4.0437,-0.00041807,0.0011265,4705.3,4761.1,406.13,-0.14102,1.7529,4324,5012,96.08,72.795,85.707,1.3345,4.3909,27.887,138.23,5082800000000,3955400000000,3845000000000,0.74489,2.334,1774400000000,8478300000000,13657,13606,290.64,0.078499,2.2782,13474,13896,1.8665E+024,1.9006E+024,1.1957E+023,-0.69029,2.3739,1.7823E+024,1.9659E+024,41.683,41.614,1.1087,-0.010808,1.9433,40.745,42.763,40.593,40.734,1.576,-0.20481,2.1133,39.424,41.812,2617.7,2606.4,37.8,0.54109,1.8922,2587.7,2654.5,1
8.3303E+022,8.3034E+022,1.1519E+021,0.95795,3.1737,8.2561E+022,8.3687E+022,45.723,45.799,0.28985,-1.1796,4.2602,45.535,45.925,67.541,66.863,2.5991,0.75181,2.5928,65.352,69.088,78.922,78.388,2.1493,1.2283,4.0407,77.441,79.594,43.593,43.307,1.0107,1.2208,4.1644,42.907,43.971,-0.0050042,-0.010037,0.023357,0.20442,2.2565,-0.021614,0.013591,89996000000000,89383000000000,2702500000000,0.58688,2.3598,87712000000000,91688000000000,-0.00040065,-0.00024657,0.0015241,-0.31066,2.3701,-0.0012605,0.00074949,-0.00020945,-0.00013136,0.00080997,-0.32449,2.3862,-0.00065982,0.00040262,5382.1,5384.5,95.283,-0.08018,2.4567,5328.3,5439.6,73.969,60.786,55.758,0.83806,2.9477,32.032,100.7,3320200000000,2702800000000,2334700000000,1.3321,5.0842,1747800000000,4455400000000,12575,12579,308.97,-0.10007,2.9756,12412,12790,1.8635E+024,1.8653E+024,2.1207E+022,-0.2097,2.5084,1.8494E+024,1.8799E+024,40.057,40.09,0.26821,-1.028,4.1682,39.972,40.261,37.614,37.65,0.46092,-0.47983,3.492,37.358,37.912,2637.6,2643.8,36.689,-0.40326,1.9118,2614,2668.4,1
8.4414E+022,8.4807E+022,1.6058E+021,-0.50139,1.9655,8.3063E+022,8.593E+022,45.526,45.532,0.3758,-0.25098,1.9166,45.227,45.859,72.756,73.434,2.7697,-0.29633,2.024,70.296,74.656,83.556,84.248,2.8716,-0.39998,2.0064,81.186,85.601,45.276,45.528,1.1438,-0.4094,2.2922,44.45,45.907,0.0020739,0.0016899,0.020701,-0.009304,2.4375,-0.012984,0.01955,94304000000000,95156000000000,2211000000000,-0.28934,2.1085,92481000000000,95733000000000,-0.00069224,-0.00066637,0.0012242,-0.47709,3.4822,-0.0012155,0.00010506,-0.00037245,-0.00035591,0.00066697,-0.45219,3.4678,-0.00063588,5.672E-05,5581.4,5596.3,121.83,-0.32371,1.7498,5478.6,5685.6,66.779,57.549,53.786,1.5514,4.9773,28.329,77.479,3804100000000,2960000000000,2623800000000,1.1865,3.8478,2006700000000,4788600000000,12628,12638,344.72,-0.19844,2.4089,12435,12915,1.8815E+024,1.8824E+024,2.4072E+022,0.51024,3.6304,1.8663E+024,1.8939E+024,40.037,40.038,0.26976,-0.54405,2.9896,39.894,40.262,37.28,37.389,0.71105,-0.3402,2.3455,36.799,37.751,2596.1,2590.3,27.585,0.27287,1.9282,2572.2,2620,1
8.2132E+022,8.2017E+022,2.8098E+021,0.11661,1.7872,7.9764E+022,8.4428E+022,45.441,45.456,0.32549,-0.13126,2.1349,45.201,45.733,75.782,76.075,1.1137,-0.75586,2.5084,74.987,76.661,86.662,87.007,1.2589,-0.65791,2.2384,85.899,87.733,46.44,46.562,0.71595,-0.2799,1.8009,45.713,47.04,-0.0083342,-0.0071167,0.024301,-0.24728,2.3551,-0.024436,0.011143,96526000000000,96004000000000,1726900000000,1.208,3.9856,95585000000000,96938000000000,-0.00072725,-0.00072634,0.00046433,0.080974,2.7455,-0.001012,-0.0004002,-0.00038827,-0.00037507,0.00024838,0.065867,2.7345,-0.00055875,-0.00021677,5628.8,5638.3,79.94,-0.42682,2.1136,5569.2,5694,44.646,42.604,25.069,0.31457,2.4045,23.846,63.132,3684700000000,3191200000000,2112400000000,0.41135,2.0364,1996700000000,5471300000000,12408,12436,359.46,-0.075937,2.4526,12170,12611,1.8158E+024,1.8139E+024,5.5048E+022,-0.097453,1.7796,1.7603E+024,1.8741E+024,40.161,40.247,0.32812,-0.79753,2.702,39.925,40.422,37.037,37.12,0.53229,-0.66341,2.6237,36.709,37.486,2654,2659.6,49.357,-0.2996,2.3296,2619.1,2679.1,1
7.9332E+022,7.8644E+022,1.3964E+021,1.1773,2.9978,7.8327E+022,8.0003E+022,45.583,45.57,0.20806,0.32309,2.4622,45.416,45.724,79.485,79.932,2.8952,0.44623,2.0207,76.682,81.085,90.014,89.456,2.6098,0.77257,2.5248,87.77,91.301,47.83,47.386,1.2288,0.9226,2.7714,46.915,48.555,-0.017777,-0.020979,0.028271,0.15864,2.6211,-0.039403,-0.0031117,100390000000000,100060000000000,3754900000000,0.38268,1.91,96877000000000,103370000000000,-0.0018534,-0.0016216,0.0010147,-0.28062,1.6845,-0.0029801,-0.00094438,-0.00094187,-0.0008158,0.00050688,-0.21686,1.6015,-0.0014902,-0.00048078,5640.9,5650.4,138.41,0.45208,2.3645,5514.5,5733.1,104.17,88.809,58.462,0.29241,1.6464,51.686,168.8,5833800000000,5950000000000,1929600000000,0.033969,2.7829,4555300000000,7031600000000,12097,12073,411.26,-0.17745,2.7891,11937,12287,1.7529E+024,1.7419E+024,2.8841E+022,0.43682,2.068,1.7278E+024,1.7792E+024,40.412,40.405,0.11893,-0.32176,2.7219,40.344,40.502,37.131,37.157,0.36495,-0.14251,2.0425,36.841,37.438,2750,2744.4,30.083,0.76864,2.5816,2726.7,2759.2,1
8.0936E+022,8.1294E+022,1.9002E+021,-0.20281,1.4549,7.9017E+022,8.2729E+022,45.764,45.806,0.28852,-0.34704,1.9683,45.522,46.031,82.141,83.15,2.1343,-0.46745,1.9985,80.345,83.839,92.231,92.799,2.1027,-0.15604,1.8187,90.4,93.871,48.8,48.93,1.0683,-0.1264,1.9734,47.877,49.582,0.0026134,0.0098204,0.030753,-0.80486,2.9391,-0.01658,0.027519,104540000000000,104990000000000,3414000000000,-0.39057,1.7933,101480000000000,107610000000000,-0.0025778,-0.0027978,0.00079122,0.79701,2.6405,-0.0031512,-0.0021915,-0.0013156,-0.0014501,0.00039293,0.90837,2.8335,-0.0015779,-0.0011286,5797.2,5784.8,131.66,-0.081269,1.9454,5686,5907.4,148.56,165.27,47.153,-0.81099,2.6195,124.44,181.87,4409200000000,4193300000000,2374400000000,0.54234,2.6734,2444600000000,6157900000000,12084,12058,410.57,-0.068581,2.8299,11954,12276,1.797E+024,1.786E+024,5.0989E+022,-0.1252,1.754,1.7694E+024,1.8517E+024,40.527,40.517,0.43065,-4.0008,26.505,40.381,40.797,36.737,37.429,4.1736,-7.4191,56.711,36.822,37.628,2745.2,2793.9,362.82,-7.3959,56.489,2750.1,2833.7,1
7.974E+022,8.0185E+022,3.0156E+021,-0.32874,1.6218,7.6302E+022,8.2729E+022,46.384,46.182,0.54938,0.40631,1.8909,45.924,46.772,84.857,84.611,1.4059,0.64344,2.1601,83.678,86.019,94.961,94.553,1.7502,0.64884,2.3025,93.415,95.944,50.544,50.442,1.2263,0.5192,2.1727,49.461,51.508,0.02217,0.020432,0.020332,0.48186,3.2454,0.0083989,0.033663,106410000000000,107080000000000,2428400000000,-0.63502,2.267,104710000000000,108210000000000,-0.0027422,-0.0027386,0.00040929,0.11718,2.8099,-0.0029957,-0.0025413,-0.0014227,-0.0014303,0.0001989,0.10676,2.728,-0.0015526,-0.0013014,5871.1,5895.7,107.9,-0.76318,2.6095,5811.9,5952.9,157.28,157.57,25.445,0.023609,2.9051,141.44,172.79,4225700000000,3493100000000,2295400000000,0.52411,2.2216,2444600000000,6201100000000,12483,12386,448.8,0.57322,2.118,12082,12834,1.8258E+024,1.8413E+024,3.4761E+022,-0.21407,1.3259,1.7857E+024,1.8564E+024,41.074,41.032,0.61721,-2.2664,13.624,40.751,41.516,37.773,37.929,4.3586,-7.1645,54.245,37.596,39.108,2782.6,2832.8,365.7,-7.5269,57.779,2815.9,2844,1
5.254E+022,5.2886E+022,2.1716E+021,-0.96206,3.1772,5.1266E+022,5.4405E+022,36.579,36.489,0.58396,0.076914,2.1521,36.083,37.053,63.863,63.827,1.5847,-0.23477,2.5177,62.819,65.172,69.274,69.263,2.0485,0.62427,3.5407,67.709,70.325,31.228,31.157,0.50347,0.60243,3.2516,30.841,31.62,-0.073304,-0.069949,0.027802,-0.057856,2.1935,-0.094199,-0.054732,40990000000000,41346000000000,2641200000000,-0.48037,2.2371,39181000000000,43304000000000,-0.0096706,-0.0088537,0.002196,-1.0763,3.2978,-0.010134,-0.00844,-0.0036012,-0.0032719,0.00097793,-1.2331,3.4848,-0.0036679,-0.0030045,2135,2126.2,61.506,0.73443,4.1398,2097.6,2171.8,279.15,260.12,58.311,0.97484,3.2017,241.96,288.67,11347000000000,10789000000000,3013300000000,0.6098,2.8091,9460800000000,12293000000000,5331.1,5276.8,219.43,1.141,3.5121,5153,5420,5.5506E+023,5.5819E+023,1.3265E+022,-0.89802,3.7501,5.4615E+023,5.6503E+023,28.965,28.95,0.37859,0.6611,3.7358,28.68,29.194,20.822,20.728,0.67516,0.54432,2.8151,20.279,21.268,1146,1139.7,36.181,0.15959,1.5328,1111.7,1181.4,1
2.5928E+020,2.6446E+020,3.9337E+019,-0.4505,2.2627,2.2631E+020,2.9477E+020,27.004,27,1.0284,0.26993,2.317,26.138,27.701,131.26,132,9.2828,-0.53472,2.6395,125.24,138.65,131.12,131.61,9.1984,-0.42877,2.386,124.44,138.67,48.875,49.625,3.855,-0.54566,2.813,46.473,51.382,0.16626,0.17024,0.45188,0.58753,3.9333,-0.14458,0.4006,365010000000,363360000000,51603000000,-0.17837,2.0621,333030000000,407690000000,-0.010858,-0.010369,0.010231,-0.47322,3.3252,-0.015733,-0.0041407,-0.0026999,-0.0027615,0.0026517,-0.76371,4.3826,-0.004074,-0.00086932,15.859,15.637,2.4115,0.10597,2.5418,14.294,17.447,1.2645,1.204,0.97443,1.336,4.8799,0.473,1.7045,80640000000,72434000000,63035000000,1.5928,5.9681,35417000000,96836000000,1576.2,1570.7,171.21,0.3947,2.4988,1426.4,1688.1,8.8336E+020,8.7327E+020,1.4192E+020,0.077316,2.0267,7.8044E+020,9.984E+020,21.654,21.561,1.3502,0.28719,2.2078,20.547,22.633,2.01,1.739,1.2194,0.69201,2.8196,1.0835,2.72,17.168,16.913,1.01,0.25739,2.1313,16.444,18.109,0
